Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
NEBRASKA,2019,30,,-,2,,6,,13,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20193025
NORTH DAKOTA,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20193026
SOUTH DAKOTA,2019,30,,-,2,,3,,11,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20193027
SOUTH ATLANTIC,2019,30,9,,68,,391,,443,,,-,1,,,-,1,,,SOUTH ATLANTIC,20193028
DELAWARE,2019,30,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20193029
DISTRICT OF COLUMBIA,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20193030
FLORIDA,2019,30,,-,62,,79,,111,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20193031
GEORGIA,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20193032
MARYLAND,2019,30,,-,11,,112,,147,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20193033
NORTH CAROLINA,2019,30,9,,17,,170,,168,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20193034
SOUTH CAROLINA,2019,30,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20193035
VIRGINIA,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20193036
WEST VIRGINIA,2019,30,,-,5,,30,,17,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20193037
EAST SOUTH CENTRAL,2019,30,5,,8,,33,,42,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20193038
ALABAMA,2019,30,3,,4,,26,,30,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20193039
KENTUCKY,2019,30,2,,8,,6,,8,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20193040
MISSISSIPPI,2019,30,,-,1,,1,,4,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20193041
TENNESSEE,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20193042
WEST SOUTH CENTRAL,2019,30,2,,47,,57,,361,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20193043
ARKANSAS,2019,30,,-,7,,19,,16,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20193044
LOUISIANA,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20193045
OKLAHOMA,2019,30,,-,7,,16,,13,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20193046
TEXAS,2019,30,2,,46,,22,,332,,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20193047
MOUNTAIN,2019,30,,-,6,,21,,47,,,-,1,,,-,,-,,MOUNTAIN,20193048
ARIZONA,2019,30,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20193049
COLORADO,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20193050
IDAHO,2019,30,,-,3,,,-,1,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20193051
MONTANA,2019,30,,-,1,,3,,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20193052
NEVADA,2019,30,,-,2,,2,,5,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20193053
NEW MEXICO,2019,30,,-,2,,13,,8,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20193054
UTAH,2019,30,,-,1,,,-,6,,,-,1,,,-,,-,"UTAH
(39.323779, -111.678222)",,20193055
WYOMING,2019,30,,-,3,,3,,27,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20193056
PACIFIC,2019,30,1,,40,,92,,101,,,-,0,,,-,,-,,PACIFIC,20193057
ALASKA,2019,30,,-,2,,7,,6,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20193058
CALIFORNIA,2019,30,,-,9,,83,,87,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20193059
HAWAII,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20193060
OREGON,2019,30,1,,3,,2,,8,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20193061
WASHINGTON,2019,30,,-,40,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20193062
US TERRITORIES,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20193063
AMERICAN SAMOA,2019,30,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20193064
NORTHERN MARIANA ISLANDS,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20193065
GUAM,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20193066
PUERTO RICO,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20193067
U.S. VIRGIN ISLANDS,2019,30,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20193068
NON-US RESIDENTS,2019,30,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20193069
TOTAL,2019,30,43,,102,,1074,,1568,,,-,1,,,-,1,,,TOTAL,20193070
US RESIDENTS,2019,31,48,,102,,1142,,1651,,,-,1,,,-,1,,,US RESIDENTS,20193101
NEW ENGLAND,2019,31,7,,14,,76,,115,,,-,0,,,-,,-,,NEW ENGLAND,20193102
CONNECTICUT,2019,31,,-,2,,8,,29,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20193103
MAINE,2019,31,1,,5,,40,,34,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20193104
MASSACHUSETTS,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20193105
NEW HAMPSHIRE,2019,31,,-,3,,12,,21,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20193106
RHODE ISLAND,2019,31,6,,2,,8,,16,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20193107
VERMONT,2019,31,,-,5,,8,,15,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20193108
MIDDLE ATLANTIC,2019,31,13,,30,,325,,366,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20193109
NEW JERSEY,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20193110
NEW YORK,2019,31,13,,29,,325,,363,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20193111
NEW YORK CITY,2019,31,,-,3,,,-,3,,,-,0,,,-,,-,,NEW YORK CITY,20193112
PENNSYLVANIA,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20193113
EAST NORTH CENTRAL,2019,31,7,,24,,56,,82,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20193114
ILLINOIS,2019,31,3,,13,,20,,28,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20193115
INDIANA,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20193116
MICHIGAN,2019,31,,-,7,,11,,40,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20193117
OHIO,2019,31,4,,6,,25,,14,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20193118
WISCONSIN,2019,31,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20193119
WEST NORTH CENTRAL,2019,31,2,,6,,54,,54,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20193120
IOWA,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20193121
KANSAS,2019,31,,-,3,,29,,20,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20193122
MINNESOTA,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20193123
MISSOURI,2019,31,,-,4,,14,,10,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20193124
NEBRASKA,2019,31,2,,2,,8,,13,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20193125
NORTH DAKOTA,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20193126
SOUTH DAKOTA,2019,31,,-,2,,3,,11,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20193127
SOUTH ATLANTIC,2019,31,8,,68,,402,,465,,,-,1,,,-,1,,,SOUTH ATLANTIC,20193128
DELAWARE,2019,31,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20193129
DISTRICT OF COLUMBIA,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20193130
FLORIDA,2019,31,,-,62,,82,,111,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20193131
GEORGIA,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20193132
MARYLAND,2019,31,,-,11,,112,,158,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20193133
NORTH CAROLINA,2019,31,4,,17,,174,,177,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20193134
SOUTH CAROLINA,2019,31,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20193135
VIRGINIA,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20193136
WEST VIRGINIA,2019,31,4,,5,,34,,19,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20193137
EAST SOUTH CENTRAL,2019,31,2,,8,,35,,45,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20193138
ALABAMA,2019,31,,-,4,,26,,33,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20193139
KENTUCKY,2019,31,2,,8,,8,,8,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20193140
MISSISSIPPI,2019,31,,-,1,,1,,4,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20193141
TENNESSEE,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20193142
WEST SOUTH CENTRAL,2019,31,6,,47,,67,,372,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20193143
ARKANSAS,2019,31,,-,7,,19,,17,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20193144
LOUISIANA,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20193145
OKLAHOMA,2019,31,1,,7,,17,,14,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20193146
TEXAS,2019,31,5,,46,,31,,341,,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20193147
MOUNTAIN,2019,31,2,,6,,25,,49,,,-,1,,,-,,-,,MOUNTAIN,20193148
ARIZONA,2019,31,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20193149
COLORADO,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20193150
IDAHO,2019,31,,-,3,,,-,1,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20193151
MONTANA,2019,31,2,,1,,5,,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20193152
NEVADA,2019,31,,-,2,,2,,6,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20193153
NEW MEXICO,2019,31,,-,2,,13,,8,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20193154
UTAH,2019,31,,-,1,,2,,7,,,-,1,,,-,,-,"UTAH
(39.323779, -111.678222)",,20193155
WYOMING,2019,31,,-,3,,3,,27,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20193156
PACIFIC,2019,31,1,,40,,102,,103,,,-,0,,,-,,-,,PACIFIC,20193157
ALASKA,2019,31,,-,2,,7,,7,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20193158
CALIFORNIA,2019,31,1,,9,,93,,88,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20193159
HAWAII,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20193160
OREGON,2019,31,,-,3,,2,,8,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20193161
WASHINGTON,2019,31,,-,40,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20193162
US TERRITORIES,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20193163
AMERICAN SAMOA,2019,31,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20193164
NORTHERN MARIANA ISLANDS,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20193165
GUAM,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20193166
PUERTO RICO,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20193167
U.S. VIRGIN ISLANDS,2019,31,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20193168
NON-US RESIDENTS,2019,31,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20193169
TOTAL,2019,31,48,,102,,1142,,1651,,,-,1,,,-,1,,,TOTAL,20193170
US RESIDENTS,2019,32,35,,102,,1188,,1735,,,-,1,,,-,1,,,US RESIDENTS,20193201
NEW ENGLAND,2019,32,4,,8,,80,,120,,,-,0,,,-,,-,,NEW ENGLAND,20193202
CONNECTICUT,2019,32,,-,2,,8,,31,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20193203
MAINE,2019,32,3,,5,,43,,36,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20193204
MASSACHUSETTS,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20193205
NEW HAMPSHIRE,2019,32,1,,3,,13,,22,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20193206
RHODE ISLAND,2019,32,,-,6,,8,,16,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20193207
VERMONT,2019,32,,-,3,,8,,15,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20193208
MIDDLE ATLANTIC,2019,32,14,,30,,339,,383,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20193209
NEW JERSEY,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20193210
NEW YORK,2019,32,14,,29,,339,,380,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20193211
NEW YORK CITY,2019,32,,-,3,,,-,3,,,-,0,,,-,,-,,NEW YORK CITY,20193212
PENNSYLVANIA,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20193213
EAST NORTH CENTRAL,2019,32,7,,24,,64,,99,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20193214
ILLINOIS,2019,32,4,,13,,25,,38,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20193215
INDIANA,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20193216
MICHIGAN,2019,32,,-,7,,11,,47,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20193217
OHIO,2019,32,3,,6,,28,,14,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20193218
WISCONSIN,2019,32,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20193219
WEST NORTH CENTRAL,2019,32,2,,6,,56,,55,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20193220
IOWA,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20193221
KANSAS,2019,32,,-,3,,29,,20,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20193222
MINNESOTA,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20193223
MISSOURI,2019,32,1,,4,,15,,10,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20193224
