Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2021†","Rabies, Animal, Cum 2021†, flag","Rabies, Animal, Cum 2020†","Rabies, Animal, Cum 2020†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2021†","Rabies, Human, Cum 2021†, flag","Rabies, Human, Cum 2020†","Rabies, Human, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
IOWA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20210421,POINT (-93.500061 42.074659)
TEXAS,2021,4,,-,33,,7,,15,,,-,0,,,-,,-,TEXAS,,20210447,POINT (-99.317341 31.447238)
ALASKA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20210458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210430,POINT (-77.016275 38.904785)
WASHINGTON,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20210462,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,4,,-,7,,3,,10,,,-,0,,,-,,-,,NEW ENGLAND,20210402,
RHODE ISLAND,2021,4,,-,4,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20210407,POINT (-71.534637 41.572574)
OREGON,2021,4,,-,2,,,-,,-,,-,0,,,-,,-,OREGON,,20210461,POINT (-120.605279 43.940449)
DELAWARE,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20210429,POINT (-75.452394 38.994926)
ALABAMA,2021,4,,-,4,,,-,1,,,-,0,,,-,,-,ALABAMA,,20210439,POINT (-86.844516 32.756889)
KANSAS,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20210422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,4,,-,11,,1,,26,,,-,0,,,-,,-,NORTH CAROLINA,,20210434,POINT (-79.130883 35.52603)
GUAM,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210466,POINT (144.653198 13.3532)
NEW JERSEY,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20210410,POINT (-74.655514 40.110253)
NEW MEXICO,2021,4,,-,2,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20210454,POINT (-106.108388 34.421369)
