Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2020†","Rabies, Animal, Cum 2020†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2020†","Rabies, Human, Cum 2020†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US TERRITORIES,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20202763,
NEW JERSEY,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20203710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,37,,-,2,,8,,18,,,-,0,,,-,,-,NEW MEXICO,,20203754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,37,2,,13,,80,,119,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20203714,
TENNESSEE,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20203742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,37,,-,0,,,-,8,,,-,0,,,-,,-,CONNECTICUT,,20203703,POINT (-72.738288 41.575155)
MARYLAND,2020,37,,-,0,,,-,112,,,-,0,,,-,,-,MARYLAND,,20203733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,37,,N,,NC,,N,,N,,-,0,,,-,,-,SOUTH CAROLINA,,20203735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,37,,-,4,,2,,18,,,-,0,,,-,,-,OKLAHOMA,,20203746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20203765,POINT (145.725693 15.1834)
OHIO,2020,37,1,,3,,29,,35,,,-,0,,,-,,-,OHIO,,20203718,POINT (-82.70936 40.415534)
MINNESOTA,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20203723,POINT (-94.198308 46.349153)
LOUISIANA,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20203745,POINT (-91.840238 30.921314)
HAWAII,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20203760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,37,6,,37,,301,,499,,,-,0,,,-,,-,,SOUTH ATLANTIC,20203728,
PENNSYLVANIA,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20203713,POINT (-77.838886 40.896694)
UTAH,2020,37,,-,1,,1,,12,,,-,0,,,-,,-,UTAH,,20203755,POINT (-111.678222 39.323779)
COLORADO,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20203750,POINT (-105.547832 38.998552)
VERMONT,2020,37,,-,2,,,-,12,,,-,0,,,-,,-,VERMONT,,20203708,POINT (-72.662695 44.075252)
KENTUCKY,2020,37,,-,5,,8,,9,,,-,0,,,-,,-,KENTUCKY,,20203740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20203767,POINT (-66.414655 18.215692)
MAINE,2020,37,2,,6,,57,,60,,,-,0,,,-,,-,MAINE,,20203704,POINT (-69.06137 45.117911)
VIRGINIA,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20203736,POINT (-78.666382 37.510861)
ARIZONA,2020,37,,N,,NC,,N,,N,,-,0,,,-,,-,ARIZONA,,20203749,POINT (-111.664616 34.293239)
US RESIDENTS,2020,33,37,,77,,1060,,1689,,,-,0,,,-,,-,,US RESIDENTS,20203301,
NEW HAMPSHIRE,2020,33,2,,1,,14,,23,,,-,0,,,-,,-,NEW HAMPSHIRE,,20203306,POINT (-71.57139 43.680429)
NEW YORK,2020,33,5,,27,,273,,348,,,-,0,,,-,,-,NEW YORK,,20203311,POINT (-75.59655 42.921241)
ILLINOIS,2020,33,2,,7,,21,,28,,,-,0,,,-,,-,ILLINOIS,,20203315,POINT (-89.148632 40.124144)
NEW ENGLAND,2020,33,7,,9,,74,,98,,,-,0,,,-,,-,,NEW ENGLAND,20203302,
RHODE ISLAND,2020,33,3,,7,,10,,13,,,-,0,,,-,,-,RHODE ISLAND,,20203307,POINT (-71.534637 41.572574)
NEW JERSEY,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20203310,POINT (-74.655514 40.110253)
EAST NORTH CENTRAL,2020,33,6,,13,,56,,82,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20203314,
CONNECTICUT,2020,33,,-,0,,,-,8,,,-,0,,,-,,-,CONNECTICUT,,20203303,POINT (-72.738288 41.575155)
OHIO,2020,33,3,,3,,22,,31,,,-,0,,,-,,-,OHIO,,20203318,POINT (-82.70936 40.415534)
PENNSYLVANIA,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20203313,POINT (-77.838886 40.896694)
VERMONT,2020,33,,-,2,,,-,8,,,-,0,,,-,,-,VERMONT,,20203308,POINT (-72.662695 44.075252)
MAINE,2020,33,2,,6,,50,,46,,,-,0,,,-,,-,MAINE,,20203304,POINT (-69.06137 45.117911)
WISCONSIN,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20203319,POINT (-89.732969 44.639954)
MICHIGAN,2020,33,1,,6,,13,,23,,,-,0,,,-,,-,MICHIGAN,,20203317,POINT (-85.730977 44.874798)
NEW YORK CITY,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20203312,
MIDDLE ATLANTIC,2020,33,5,,27,,273,,348,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20203309,
WEST NORTH CENTRAL,2020,33,1,,7,,18,,61,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20203320,
MASSACHUSETTS,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20203305,POINT (-71.481104 42.151077)
DISTRICT OF COLUMBIA,2020,32,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20203230,POINT (-77.016275 38.904785)
EAST SOUTH CENTRAL,2020,32,1,,7,,37,,42,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20203238,
WEST SOUTH CENTRAL,2020,32,,-,5,,2,,35,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20203243,
TEXAS,2020,32,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20203247,POINT (-99.317341 31.447238)
NEVADA,2020,32,1,,2,,7,,6,,,-,0,,,-,,-,NEVADA,,20203253,POINT (-114.916992 39.283294)
PACIFIC,2020,32,2,,16,,68,,151,,,-,0,,,-,,-,,PACIFIC,20203257,
ALASKA,2020,32,,-,0,,,-,7,,,-,0,,,-,,-,ALASKA,,20203258,POINT (-151.631889 63.631126)
OREGON,2020,32,,-,0,,,-,2,,,-,0,,,-,,-,OREGON,,20203261,POINT (-120.605279 43.940449)
WASHINGTON,2020,32,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20203262,POINT (-120.592492 47.411715)
TOTAL,2020,32,24,,63,,766,,1289,,,-,0,,,-,,-,,TOTAL,20203270,
AMERICAN SAMOA,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20203764,
WISCONSIN,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20203719,POINT (-89.732969 44.639954)
IDAHO,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20203751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20203768,POINT (-64.840836 18.060868)
MICHIGAN,2020,37,,-,6,,16,,37,,,-,0,,,-,,-,MICHIGAN,,20203717,POINT (-85.730977 44.874798)
GEORGIA,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20203732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20203712,
ARKANSAS,2020,37,,-,1,,,-,21,,,-,0,,,-,,-,ARKANSAS,,20203744,POINT (-92.439162 34.899825)
TOTAL,2020,28,23,,76,,846,,1378,,,-,0,,,-,,-,,TOTAL,20202870,
US RESIDENTS,2020,28,23,,76,,846,,1378,,,-,0,,,-,,-,,US RESIDENTS,20202801,
NEW HAMPSHIRE,2020,28,,-,5,,9,,20,,,-,0,,,-,,-,NEW HAMPSHIRE,,20202806,POINT (-71.57139 43.680429)
NEW YORK,2020,28,9,,27,,232,,276,,,-,0,,,-,,-,NEW YORK,,20202811,POINT (-75.59655 42.921241)
PACIFIC,2020,28,1,,16,,49,,123,,,-,0,,,-,,-,,PACIFIC,20202857,
WEST SOUTH CENTRAL,2020,28,,-,22,,221,,337,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20202843,
NEBRASKA,2020,28,,-,3,,4,,6,,,-,0,,,-,,-,NEBRASKA,,20202825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,28,,-,7,,34,,29,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20202838,
NORTH DAKOTA,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20202826,POINT (-100.46931 47.446305)
NEVADA,2020,28,,-,1,,1,,2,,,-,0,,,-,,-,NEVADA,,20202853,POINT (-114.916992 39.283294)
ILLINOIS,2020,28,3,,7,,13,,9,,,-,0,,,-,,-,ILLINOIS,,20202815,POINT (-89.148632 40.124144)
IOWA,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20202821,POINT (-93.500061 42.074659)
TEXAS,2020,28,,-,20,,219,,306,,,-,0,,,-,,-,TEXAS,,20202847,POINT (-99.317341 31.447238)
ALASKA,2020,28,,-,0,,,-,7,,,-,0,,,-,,-,ALASKA,,20202858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20202830,POINT (-77.016275 38.904785)
WASHINGTON,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20202862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,28,2,,9,,57,,73,,,-,0,,,-,,-,,NEW ENGLAND,20202802,
RHODE ISLAND,2020,28,1,,7,,7,,2,,,-,0,,,-,,-,RHODE ISLAND,,20202807,POINT (-71.534637 41.572574)
OREGON,2020,28,,-,1,,1,,,-,,-,0,,,-,,-,OREGON,,20202861,POINT (-120.605279 43.940449)
DELAWARE,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20202829,POINT (-75.452394 38.994926)
ALABAMA,2020,28,,-,4,,26,,24,,,-,0,,,-,,-,ALABAMA,,20202839,POINT (-86.844516 32.756889)
KANSAS,2020,28,,-,0,,,-,29,,,-,0,,,-,,-,KANSAS,,20202822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,28,7,,15,,151,,154,,,-,0,,,-,,-,NORTH CAROLINA,,20202834,POINT (-79.130883 35.52603)
GUAM,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20202866,POINT (144.653198 13.3532)
NEW JERSEY,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20202810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,28,,-,2,,8,,14,,,-,0,,,-,,-,NEW MEXICO,,20202854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,28,4,,13,,34,,46,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20202814,
TENNESSEE,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20202842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,28,,-,0,,,-,8,,,-,0,,,-,,-,CONNECTICUT,,20202803,POINT (-72.738288 41.575155)
MARYLAND,2020,28,,-,0,,,-,112,,,-,0,,,-,,-,MARYLAND,,20202833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,28,,N,,NC,,N,,N,,-,0,,,-,,-,SOUTH CAROLINA,,20202835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,28,,-,6,,2,,14,,,-,0,,,-,,-,OKLAHOMA,,20202846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20202865,POINT (145.725693 15.1834)
OHIO,2020,28,1,,4,,13,,20,,,-,0,,,-,,-,OHIO,,20202818,POINT (-82.70936 40.415534)
MINNESOTA,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20202823,POINT (-94.198308 46.349153)
MISSISSIPPI,2020,37,,-,1,,1,,2,,,-,0,,,-,,-,MISSISSIPPI,,20203741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,37,,-,1,,,-,14,,,-,0,,,-,,-,SOUTH DAKOTA,,20203727,POINT (-100.230491 44.43614)
WYOMING,2020,37,,-,1,,,-,25,,,-,0,,,-,,-,WYOMING,,20203756,POINT (-107.55145 42.999627)
MISSOURI,2020,37,,-,3,,9,,18,,,-,0,,,-,,-,MISSOURI,,20203724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,37,5,,27,,312,,395,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20203709,
LOUISIANA,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20202845,POINT (-91.840238 30.921314)
HAWAII,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20202860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,28,7,,31,,195,,416,,,-,0,,,-,,-,,SOUTH ATLANTIC,20202828,
PENNSYLVANIA,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20202813,POINT (-77.838886 40.896694)
UTAH,2020,28,,-,3,,,-,1,,,-,0,,,-,,-,UTAH,,20202855,POINT (-111.678222 39.323779)
COLORADO,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20202850,POINT (-105.547832 38.998552)
VERMONT,2020,28,,-,2,,,-,7,,,-,0,,,-,,-,VERMONT,,20202808,POINT (-72.662695 44.075252)
KENTUCKY,2020,28,,-,5,,7,,4,,,-,0,,,-,,-,KENTUCKY,,20202840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20202867,POINT (-66.414655 18.215692)
MAINE,2020,28,1,,6,,41,,36,,,-,0,,,-,,-,MAINE,,20202804,POINT (-69.06137 45.117911)
VIRGINIA,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20202836,POINT (-78.666382 37.510861)
ARIZONA,2020,28,,N,,NC,,N,,N,,-,0,,,-,,-,ARIZONA,,20202849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20202864,
WISCONSIN,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20202819,POINT (-89.732969 44.639954)
IDAHO,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20202851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202868,POINT (-64.840836 18.060868)
MICHIGAN,2020,28,,-,6,,8,,17,,,-,0,,,-,,-,MICHIGAN,,20202817,POINT (-85.730977 44.874798)
GEORGIA,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20202832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20202812,
ARKANSAS,2020,28,,-,3,,,-,17,,,-,0,,,-,,-,ARKANSAS,,20202844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,28,,-,1,,1,,1,,,-,0,,,-,,-,MISSISSIPPI,,20202841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,28,,-,4,,,-,2,,,-,0,,,-,,-,SOUTH DAKOTA,,20202827,POINT (-100.230491 44.43614)
WYOMING,2020,28,,-,2,,,-,13,,,-,0,,,-,,-,WYOMING,,20202856,POINT (-107.55145 42.999627)
MISSOURI,2020,28,,-,3,,9,,8,,,-,0,,,-,,-,MISSOURI,,20202824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,28,9,,27,,232,,276,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20202809,
CALIFORNIA,2020,28,1,,16,,48,,116,,,-,0,,,-,,-,CALIFORNIA,,20202859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,28,,-,4,,10,,30,,,-,0,,,-,,-,WEST VIRGINIA,,20202837,POINT (-80.613729 38.642579)
FLORIDA,2020,28,,-,21,,34,,120,,,-,0,,,-,,-,FLORIDA,,20202831,POINT (-82.420978 28.260731)
MONTANA,2020,28,,-,4,,2,,3,,,-,0,,,-,,-,MONTANA,,20202852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,28,,-,7,,13,,45,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20202820,
MASSACHUSETTS,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20202805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,28,,-,9,,11,,33,,,-,0,,,-,,-,,MOUNTAIN,20202848,
INDIANA,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20202816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202869,
US TERRITORIES,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20202863,
CALIFORNIA,2020,37,4,,14,,95,,184,,,-,0,,,-,,-,CALIFORNIA,,20203759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,37,,-,5,,22,,41,,,-,0,,,-,,-,WEST VIRGINIA,,20203737,POINT (-80.613729 38.642579)
FLORIDA,2020,37,,-,34,,51,,120,,,-,0,,,-,,-,FLORIDA,,20203731,POINT (-82.420978 28.260731)
MONTANA,2020,37,1,,2,,11,,14,,,-,0,,,-,,-,MONTANA,,20203752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,37,3,,6,,25,,76,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20203720,
MASSACHUSETTS,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20203705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,37,1,,7,,27,,79,,,-,0,,,-,,-,,MOUNTAIN,20203748,
INDIANA,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20203716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20203769,
US TERRITORIES,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20203763,
US RESIDENTS,2020,46,16,,57,,1605,,2463,,,-,0,,,-,,-,,US RESIDENTS,20204601,
NEW HAMPSHIRE,2020,46,,-,2,,21,,27,,,-,0,,,-,,-,NEW HAMPSHIRE,,20204606,POINT (-71.57139 43.680429)
NEW YORK,2020,46,8,,27,,391,,506,,,-,0,,,-,,-,NEW YORK,,20204611,POINT (-75.59655 42.921241)
PACIFIC,2020,46,,-,10,,138,,266,,,-,0,,,-,,-,,PACIFIC,20204657,
WEST SOUTH CENTRAL,2020,46,2,,33,,372,,555,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20204643,
NEBRASKA,2020,46,,-,4,,22,,20,,,-,0,,,-,,-,NEBRASKA,,20204625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,46,2,,6,,57,,64,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20204638,
NORTH DAKOTA,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20204626,POINT (-100.46931 47.446305)
NEVADA,2020,46,,-,2,,10,,18,,,-,0,,,-,,-,NEVADA,,20204653,POINT (-114.916992 39.283294)
ILLINOIS,2020,46,,-,6,,38,,53,,,-,0,,,-,,-,ILLINOIS,,20204615,POINT (-89.148632 40.124144)
IOWA,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20204621,POINT (-93.500061 42.074659)
TEXAS,2020,46,2,,33,,343,,508,,,-,0,,,-,,-,TEXAS,,20204647,POINT (-99.317341 31.447238)
ALASKA,2020,46,,-,0,,,-,7,,,-,0,,,-,,-,ALASKA,,20204658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20204630,POINT (-77.016275 38.904785)
WASHINGTON,2020,46,,-,9,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20204662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,46,1,,8,,107,,151,,,-,0,,,-,,-,,NEW ENGLAND,20204602,
RHODE ISLAND,2020,46,,-,7,,17,,22,,,-,0,,,-,,-,RHODE ISLAND,,20204607,POINT (-71.534637 41.572574)
OREGON,2020,46,,-,2,,8,,1,,,-,0,,,-,,-,OREGON,,20204661,POINT (-120.605279 43.940449)
DELAWARE,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20204629,POINT (-75.452394 38.994926)
ALABAMA,2020,46,2,,4,,43,,47,,,-,0,,,-,,-,ALABAMA,,20204639,POINT (-86.844516 32.756889)
KANSAS,2020,46,,-,0,,,-,29,,,-,0,,,-,,-,KANSAS,,20204622,POINT (-98.38018 38.484729)
NEBRASKA,2020,33,1,,3,,9,,10,,,-,0,,,-,,-,NEBRASKA,,20203325,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20203326,POINT (-100.46931 47.446305)
IOWA,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20203321,POINT (-93.500061 42.074659)
DISTRICT OF COLUMBIA,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20203330,POINT (-77.016275 38.904785)
DELAWARE,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20203329,POINT (-75.452394 38.994926)
KANSAS,2020,33,,-,0,,,-,29,,,-,0,,,-,,-,KANSAS,,20203322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,33,11,,15,,203,,188,,,-,0,,,-,,-,NORTH CAROLINA,,20203334,POINT (-79.130883 35.52603)
MARYLAND,2020,33,,-,0,,,-,112,,,-,0,,,-,,-,MARYLAND,,20203333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,33,,N,,NC,,N,,N,,-,0,,,-,,-,SOUTH CAROLINA,,20203335,POINT (-80.864614 33.878572)
MINNESOTA,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20203323,POINT (-94.198308 46.349153)
SOUTH ATLANTIC,2020,33,11,,28,,262,,455,,,-,0,,,-,,-,,SOUTH ATLANTIC,20203328,
VIRGINIA,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20203336,POINT (-78.666382 37.510861)
GEORGIA,2020,33,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20203332,POINT (-83.426574 32.638481)
SOUTH DAKOTA,2020,33,,-,4,,,-,6,,,-,0,,,-,,-,SOUTH DAKOTA,,20203327,POINT (-100.230491 44.43614)
MISSOURI,2020,33,,-,3,,9,,16,,,-,0,,,-,,-,MISSOURI,,20203324,POINT (-92.477244 38.3675)
US RESIDENTS,2020,38,20,,72,,1261,,2030,,,-,0,,,-,,-,,US RESIDENTS,20203801,
MAINE,2020,32,2,,6,,48,,44,,,-,0,,,-,,-,MAINE,,20203204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,32,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20203205,POINT (-71.481104 42.151077)
VERMONT,2020,32,,-,2,,,-,8,,,-,0,,,-,,-,VERMONT,,20203208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,32,11,,27,,268,,339,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20203209,
NEW YORK CITY,2020,32,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20203212,
PENNSYLVANIA,2020,32,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20203213,POINT (-77.838886 40.896694)
INDIANA,2020,32,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20203216,POINT (-86.2818 39.919991)
MICHIGAN,2020,32,,-,6,,11,,21,,,-,0,,,-,,-,MICHIGAN,,20203217,POINT (-85.730977 44.874798)
WISCONSIN,2020,32,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20203219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,32,1,,7,,17,,56,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20203220,
MISSOURI,2020,32,,-,3,,9,,15,,,-,0,,,-,,-,MISSOURI,,20203224,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,32,,-,4,,,-,3,,,-,0,,,-,,-,SOUTH DAKOTA,,20203227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,32,,-,27,,242,,448,,,-,0,,,-,,-,,SOUTH ATLANTIC,20203228,
FLORIDA,2020,32,,-,24,,41,,120,,,-,0,,,-,,-,FLORIDA,,20203231,POINT (-82.420978 28.260731)
GEORGIA,2020,32,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20203232,POINT (-83.426574 32.638481)
VIRGINIA,2020,32,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20203236,POINT (-78.666382 37.510861)
NORTH CAROLINA,2020,46,3,,11,,278,,287,,,-,0,,,-,,-,NORTH CAROLINA,,20204634,POINT (-79.130883 35.52603)
US RESIDENTS,2020,29,29,,76,,897,,1429,,,-,0,,,-,,-,,US RESIDENTS,20202901,
NEW ENGLAND,2020,29,2,,9,,59,,77,,,-,0,,,-,,-,,NEW ENGLAND,20202902,
GUAM,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20204666,POINT (144.653198 13.3532)
NEW JERSEY,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20204610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,46,,-,2,,10,,22,,,-,0,,,-,,-,NEW MEXICO,,20204654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,46,,-,9,,99,,147,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20204614,
TENNESSEE,2020,46,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20204642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,46,,-,0,,,-,8,,,-,0,,,-,,-,CONNECTICUT,,20204603,POINT (-72.738288 41.575155)
MARYLAND,2020,46,,-,0,,,-,112,,,-,0,,,-,,-,MARYLAND,,20204633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,46,,N,,NC,,N,,N,,-,0,,,-,,-,SOUTH CAROLINA,,20204635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,46,,-,2,,3,,23,,,-,0,,,-,,-,OKLAHOMA,,20204646,POINT (-97.508297 35.583449)
