Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2020†","Rabies, Animal, Cum 2020†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2020†","Rabies, Human, Cum 2020†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ALASKA,2020,7,,-,2,,,-,1,,,-,0,,,-,,-,ALASKA,,20200758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,7,,-,9,,13,,9,,,-,0,,,-,,-,,NEW ENGLAND,20200702,
RHODE ISLAND,2020,7,,-,7,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200729,POINT (-75.452394 38.994926)
ALABAMA,2020,7,,-,4,,1,,5,,,-,0,,,-,,-,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,3,,,-,4,,,-,0,,,-,,-,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,4,,15,,30,,17,,,-,0,,,-,,-,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,,-,3,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
US RESIDENTS,2020,8,18,,75,,151,,311,,,-,0,,,-,,-,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,,-,3,,3,,2,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,10,,27,,67,,50,,,-,0,,,-,,-,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,,-,14,,2,,15,,,-,0,,,-,,-,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,2,,29,,18,,32,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,3,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,1,,7,,3,,6,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,7,,1,,2,,,-,0,,,-,,-,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,,-,29,,16,,28,,,-,0,,,-,,-,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,2,,,-,3,,,-,0,,,-,,-,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,,-,9,,13,,10,,,-,0,,,-,,-,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,7,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,-,1,,,-,,-,,-,0,,,-,,-,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,1,,4,,2,,5,,,-,0,,,-,,-,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,3,,,-,4,,,-,0,,,-,,-,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,4,,15,,34,,23,,,-,0,,,-,,-,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,-,3,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,,-,14,,2,,5,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,2,,,-,2,,,-,0,,,-,,-,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,,-,9,,,-,32,,,-,0,,,-,,-,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,N,,NC,,N,,N,,-,0,,,-,,-,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,2,,6,,2,,3,,,-,0,,,-,,-,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,,-,4,,,-,1,,,-,0,,,-,,-,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,5,,21,,45,,182,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200828,
TOTAL,2020,6,27,,75,,112,,256,,,-,0,,,-,,-,,TOTAL,20200670,
US RESIDENTS,2020,6,27,,75,,112,,256,,,-,0,,,-,,-,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,,-,3,,3,,2,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,19,,27,,46,,32,,,-,0,,,-,,-,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,,-,13,,,-,12,,,-,0,,,-,,-,,PACIFIC,20200657,
WEST SOUTH CENTRAL,2020,6,1,,29,,15,,18,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,,-,3,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,,-,7,,2,,6,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
AMERICAN SAMOA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200664,
PENNSYLVANIA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,,-,3,,,-,,-,,-,0,,,-,,-,UTAH,,20200855,POINT (-111.678222 39.323779)
NEVADA,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,1,,7,,1,,1,,,-,0,,,-,,-,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,1,,29,,15,,15,,,-,0,,,-,,-,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,-,2,,,-,1,,,-,0,,,-,,-,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,2,,9,,13,,9,,,-,0,,,-,,-,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,7,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,4,,1,,5,,,-,0,,,-,,-,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,3,,,-,4,,,-,0,,,-,,-,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,3,,15,,26,,17,,,-,0,,,-,,-,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,-,3,,,-,1,,,-,0,,,-,,-,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,1,,14,,1,,4,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
